text,tag,score
Euro,OTH,0.9997308850288391
Marktcheck,OTH,0.9994114637374878
Isabella Neumann,PER,0.999930202960968
Rheinhessen,LOC,0.9998643398284912
Isabella,PER,0.9999079704284668
Ukraine-Krieg,OTH,0.963276743888855
Matthias Unnath,PER,0.9999329447746277
Matthias Unnath,PER,0.9998999238014221
Matthias Unnath,PER,0.9999110698699951
Euro,OTH,0.9997960925102234
Cent,OTH,0.9956218600273132
Matthias Unnath,PER,0.9999253153800964
Matthias Unnath,PER,0.9999126195907593
Euro,OTH,0.9995201826095581
Cent,OTH,0.9989917874336243
Euro,OTH,0.9995549321174622
Neumann,PER,0.9999068975448608
Euro,OTH,0.9997212290763855
Isabella Neumann,PER,0.999882161617279
Euro,OTH,0.9997588992118835
Bettina Friedrich,PER,0.9997910261154175
schwäbischen,LOCderiv,0.9998583793640137
Hengen,LOC,0.9644906520843506
Bettina,PER,0.9998878240585327
Birgit,PER,0.9999316930770874
Bettina,PER,0.9999215602874756
Grundig,ORG,0.978423535823822
Euro,OTH,0.9996026158332825
QX6,OTH,0.9994951486587524
AEG,ORG,0.9993919134140015
Euro,OTH,0.9986775517463684
Bosch,ORG,0.99982750415802
Euro,OTH,0.9995662569999695
Euro,OTH,0.9997913241386414
Dyson V15 detect,OTH,0.9989466071128845
Kobold VB100,OTH,0.9585652947425842
Euro,OTH,0.9980868101119995
TÜV Süd,ORG,0.9998480379581451
Markus Nohe,PER,0.9995239675045013
Bettina,PER,0.9998145699501038
Birgit,PER,0.9999321699142456
Bosch,ORG,0.9999068975448608
Bosch,ORG,0.9997898936271667
Grundig,ORG,0.9395767450332642
Dyson,PER,0.9981027245521545
Dyson,ORG,0.9841952323913574
Dyson,PER,0.999774158000946
Bettina,PER,0.9999321699142456
Euro,OTH,0.9997554421424866
AEG,ORG,0.9997149109840393
AEG,ORG,0.9985343217849731
AEG,ORG,0.9994056224822998
Grundig,ORG,0.9896055459976196
AEG,ORG,0.9996160268783569
Dyson,OTH,0.9507247805595398
Dyson,PER,0.9999223947525024
Dyson,OTH,0.9146367311477661
Grundig-Geräts,PERpart,0.7438212633132935
Bosch-Sauger,ORGpart,0.9456847906112671
Bettinas,PER,0.999772846698761
Bosch,ORG,0.9709882140159607
Dyson,ORG,0.8064575791358948
Bosch,ORG,0.9998549222946167
AEG,ORG,0.9995094537734985
Dyson,OTH,0.9985609650611877
Bosch,ORG,0.9998912811279297
Preiswert,OTH,0.5359230041503906
nützlich,OTH,0.8092383742332458
YouTube-Kanal,ORGpart,0.9862551689147949
Möller,PER,0.999884843826294
Landgericht Berlin,ORG,0.9724335968494415
BGH,ORG,0.9986969828605652
Berliner,LOCderiv,0.9998840093612671
BGH,ORG,0.8513328433036804
Julian Frano,PER,0.9999260902404785
Stuttgart Stammheim,LOC,0.9980104267597198
Bezirksbaugenossenschaft Altwürttemberg,ORG,0.9743126630783081
Julian Frano,PER,0.999921977519989
Stuttgarter,LOCderiv,0.9999350309371948
Julian Frano,PER,0.999919593334198
Julian Frano,PER,0.9999290704727173
Julian Frano,PER,0.9999130368232727
Mieterverein Stuttgart,ORG,0.9998605847358704
Julian Frano,PER,0.9998835921287537
Stammheim,LOC,0.9998979568481445
Julian Frano,PER,0.9998655915260315
BGH,ORG,0.9059640169143677
BGH,ORG,0.997701108455658
Paul,PER,0.9999572038650513
Susanne,PER,0.999887228012085
Paul,PER,0.9999511241912842
Susanne,PER,0.9999450445175171
Paul,PER,0.999947190284729
Paul,PER,0.999944806098938
Susanne,PER,0.9999376535415649
Paul,PER,0.9999420642852783
Susanne,PER,0.99989914894104
Paul,PER,0.9948888421058655
Jesus,PER,0.9999266862869263
Maria,PER,0.9999120235443115
Susanne,PER,0.9999164342880249
Paul,PER,0.9999357461929321
Saarbrücken,LOC,0.999962329864502
Saarbrücken,LOC,0.9999618530273438
Saarbrücken,LOC,0.9999469518661499
BGH,ORG,0.9917863011360168
Möller,PER,0.9999116659164429
Neustadt,LOC,0.5842901468276978
Weinstraße,LOC,0.7359204888343811
Sandra Morsch,PER,0.9998983144760132
Henry,PER,0.8589837551116943
Sandra,PER,0.9999423027038574
Sandra,PER,0.9999172687530518
Sandra,PER,0.999840497970581
Mathilde Kersting,PER,0.9999336004257202
Instituts für Kinderernährung,ORG,0.9997140566507975
Bochum,LOC,0.9999575614929199
Bundesministerium für Ernährung und Landwirtschaft,ORG,0.9998185276985169
Matthias Riedl,PER,0.9999191761016846
WHO,ORG,0.9998997449874878
Sabine Holzäpfel,PER,0.9999244213104248
Baden-Württemberg,LOC,0.9570466876029968
Europäische Kommission,ORG,0.9986351430416107
Sandra Morsch,PER,0.9998974204063416
Henry,PER,0.9999078512191772
Helena,PER,0.9999197721481323
Hannes,PER,0.999925971031189
Henry,PER,0.999937891960144
Mathilde Kersting,PER,0.9999178051948547
Sandra Morsch,PER,0.9998795390129089
Bundesministerium für Ernährung und Landwirtschaft,ORG,0.9997689485549927
EU-Kommission,ORGpart,0.9988376498222351
SWR,ORG,0.9949256181716919
SWR,ORG,0.9997052550315857
